offer_id,customer_id,product_code,product_variant,offer_datetime,premium_offered,sales_source,sum_insured,coverage_hash
O-2024-0006081,100071,TRAVEL,Europe,2024-01-01 01:36:31.000000,39.79,Agent,34246.84,8929389deeeb0611096b6e99cc59462e
O-2024-0007701,100870,TRAVEL,World,2024-01-01 02:45:03.000000,53.15,Web,40268.03,29228477efa77b80adf72d52898ed504
O-2024-0002102,100159,TRAVEL,Europe,2024-01-01 06:00:28.000000,27.18,Agent,15595.24,585fbb6778feb0b34d9d9968379153d5
O-2024-0003238,100463,TRAVEL,World,2024-01-01 06:02:03.000000,57.24,Web,36560.82,1b416383d03705a1255fb69d8dcaf0a7
O-2024-0006953,100591,PET,Cat,2024-01-01 07:54:43.000000,70.0,Phone,21046.68,3141e1691fb5a9f68ef7973be2d27201
O-2024-0007227,100789,HOME,HomeBasic,2024-01-01 08:36:53.000000,480.3,Agent,13054.85,84b31a37232624c6a42d668777f58b1e
O-2024-0005242,100414,AUTO,MTPL,2024-01-01 09:05:24.000000,342.37,Web,3450.16,8e3bd5550e68973933c64ec0f851dafc
O-2024-0002102-D01,100159,TRAVEL,Europe,2024-01-01 09:26:58.905001,28.27,Agent,15595.24,585fbb6778feb0b34d9d9968379153d5
O-2024-0006081-D01,100071,TRAVEL,Europe,2024-01-01 11:36:21.990785,41.06,Agent,34246.84,8929389deeeb0611096b6e99cc59462e
O-2024-0003321,100407,PET,Dog,2024-01-01 12:49:08.000000,35.53,Phone,39603.05,2be07d20ecb41f4af7a92cf5def3cad1
O-2024-0003225,100280,PET,Cat,2024-01-01 12:53:43.000000,84.35,Agent,46106.76,bbe5ff49071a8a1f5b63d5e85d163db5
O-2024-0000435,100596,PET,Cat,2024-01-01 14:20:17.000000,124.47,Web,19056.67,b085e9a0ba691334a93048f8ecba1e48
O-2024-0007123,100295,PET,Dog,2024-01-01 14:44:41.000000,88.36,Phone,24444.63,74317382b13065bda40e70f4f1e12c8a
O-2024-0003225-D01,100280,PET,Cat,2024-01-01 16:28:46.324397,87.37,Agent,46106.76,bbe5ff49071a8a1f5b63d5e85d163db5
O-2024-0003095,100630,HOME,HomeBasic,2024-01-01 21:41:44.000000,469.43,Web,13937.52,ada142f9ee4381c32e31752c5191ac65
O-2024-0007123-D01,100295,PET,Dog,2024-01-01 23:27:13.849356,85.9,Phone,24444.63,74317382b13065bda40e70f4f1e12c8a
O-2024-0006170,100696,TRAVEL,World,2024-01-02 00:27:17.000000,71.04,Phone,31640.0,eed71837f14fa3172dbea8944f6c1ba5
O-2024-0003849,100613,HOME,HomeBasic,2024-01-02 02:02:21.000000,530.27,Web,20654.73,f640a95b9d682dc00955b5bee5dc9e72
O-2024-0000404,100641,AUTO,CASCO,2024-01-02 03:27:11.000000,101.12,Web,9678.29,3810f95efb32c817acb71fd53bce4890
O-2024-0001715,100249,AUTO,MTPL,2024-01-02 04:35:30.000000,314.36,Agent,28038.19,e05816c9696b3bc078c794e07841e87f
O-2024-0005289,100156,AUTO,CASCO,2024-01-02 04:38:53.000000,214.94,Phone,37064.52,363fee20973aba26f0184cb8bf15f992
O-2024-0005337,100488,AUTO,MTPL,2024-01-02 05:10:18.000000,148.08,Phone,3589.56,dcee71abaf82f4ce5ba8787b809d77e5
O-2024-0007571,100678,AUTO,CASCO,2024-01-02 06:40:30.000000,231.7,Phone,47487.18,001563e88f774d9b9547e17c150c30fb
O-2024-0004621,100184,PET,Dog,2024-01-02 06:42:56.000000,166.43,Agent,6573.45,dd791fca8a25167ca9d77988c2a91db1
O-2024-0006368,100282,LIABILITY,Personal,2024-01-02 08:54:01.000000,230.28,Agent,30768.92,0b176f71fc0e41e2ec74ef5b1ff9be73
O-2024-0007571-D01,100678,AUTO,CASCO,2024-01-02 09:16:37.331391,221.05,Phone,47487.18,001563e88f774d9b9547e17c150c30fb
O-2024-0005289-D01,100156,AUTO,CASCO,2024-01-02 10:15:25.918534,212.12,Phone,37064.52,363fee20973aba26f0184cb8bf15f992
O-2024-0001980,100556,TRAVEL,World,2024-01-02 11:03:48.000000,40.64,Agent,29081.0,ffb0f8670ee2dd823b7f31444ebf3e26
O-2024-0001025,100837,TRAVEL,Europe,2024-01-02 13:35:31.000000,54.74,Web,43321.29,76897e69933c450d4e73635741563a5c
O-2024-0005289-D01,100156,AUTO,CASCO,2024-01-02 15:21:24.024325,205.26,Phone,37064.52,363fee20973aba26f0184cb8bf15f992
O-2024-0007610,100412,PET,Dog,2024-01-02 15:44:28.000000,203.74,Web,1051.9,db019793c675d2b106b265212b6c730a
O-2024-0001660,100464,HOME,HomePlus,2024-01-02 17:01:20.000000,421.4,Agent,32458.62,fbd7ac5ceb0afbbdc96b3aab3512e5db
O-2024-0001025-D01,100837,TRAVEL,Europe,2024-01-02 18:00:28.205663,53.99,Web,43321.29,76897e69933c450d4e73635741563a5c
O-2024-0005215,100454,LIABILITY,Personal,2024-01-02 20:56:45.000000,389.78,Web,15240.79,f947c422444a051cf978271462bcaf88
O-2024-0005601,100577,PET,Cat,2024-01-02 21:18:39.000000,73.57,Phone,3539.15,cb643e80a5be890afb0a0dd4ee277f74
O-2024-0003633,100951,AUTO,MTPL,2024-01-02 21:27:54.000000,166.64,Phone,7682.44,6770a89a187aa28d703828178b075dcf
O-2024-0002703,100076,HOME,HomeBasic,2024-01-02 21:34:04.000000,840.65,Agent,25080.69,2e1441c956482a1b0639d97ae4520277
O-2024-0000870,100110,LIABILITY,Personal,2024-01-02 22:13:59.000000,168.17,Web,13599.01,95a13c811d67c664d50d6acec3b5af5e
O-2024-0000059,100087,PET,Dog,2024-01-02 23:00:11.000000,88.28,Phone,12441.33,da8a11a9bc52c9f53e4690056e61bb90
O-2024-0002046,100411,LIABILITY,Personal,2024-01-03 00:09:45.000000,174.52,Agent,6219.73,2e553865fb79ffadb620c45be892ca77
O-2024-0006186,100038,LIABILITY,Personal,2024-01-03 01:44:49.000000,201.82,Agent,2168.21,007223b4a16a4f1d576603839ca8ca82
O-2024-0001955,100901,HOME,HomeBasic,2024-01-03 01:49:34.000000,391.29,Phone,2867.25,f220adac27e03ddaf319c9551720c653
O-2024-0000519,100988,PET,Cat,2024-01-03 02:11:53.000000,94.31,Web,35051.67,cb7fa10198fccd5919ff7836c9767934
O-2024-0000556,100654,TRAVEL,World,2024-01-03 03:44:56.000000,30.17,Agent,11640.65,4d63de5cd925bec8dc04809e4e49d2b3
O-2024-0002562,100507,LIABILITY,Personal,2024-01-03 04:34:44.000000,260.32,Phone,39133.99,64bf44b2e105c3c005467b5ec93f34f6
O-2024-0000059-D01,100087,PET,Dog,2024-01-03 05:49:52.749446,84.77,Phone,12441.33,da8a11a9bc52c9f53e4690056e61bb90
O-2024-0001513,100347,HOME,HomeBasic,2024-01-03 06:28:12.000000,318.39,Web,32443.27,5ece5ffbae411dc07d044f9c6669fb6b
O-2024-0001559,100760,LIABILITY,Personal,2024-01-03 07:44:09.000000,414.61,Web,49484.61,348b55a1f5e68c46940499ec4717d326
O-2024-0006872,100737,LIABILITY,Personal,2024-01-03 09:26:10.000000,90.38,Agent,36382.97,9068f98e137c7defca3bc44c3e9e868e
O-2024-0005991,100912,TRAVEL,Europe,2024-01-03 12:06:04.000000,29.59,Phone,9291.43,9207fb10deb794423585429b70aba48a
O-2024-0006198,100405,HOME,HomeBasic,2024-01-03 12:25:24.000000,353.09,Agent,15605.61,2f2a31f97bd10172ce317a69430d2f75
O-2024-0002817,100105,HOME,HomePlus,2024-01-03 12:47:27.000000,483.6,Phone,12759.78,7e19518eee81409a69a7ddf1ea3413a5
O-2024-0006799,100357,AUTO,MTPL,2024-01-03 13:14:28.000000,111.38,Phone,30708.5,ba6bee8589baf679d15b09e2b5c896de
O-2024-0003112,100875,LIABILITY,Personal,2024-01-03 17:06:10.000000,100.52,Web,25495.91,4fe85780e5364364720789fa97cc4bad
O-2024-0007049,100259,PET,Cat,2024-01-03 18:04:09.000000,104.78,Web,15252.58,31f94d1890a7902102011bfee368dfed
O-2024-0001329,100688,PET,Dog,2024-01-03 18:12:17.000000,149.38,Agent,35910.59,ab4c1f7c293e51bdee966f6c11e0ecff
O-2024-0006603,100881,AUTO,MTPL,2024-01-03 19:35:05.000000,332.45,Agent,31695.59,e258fcdfceedac79b5469decd5c2349b
O-2024-0006872-D01,100737,LIABILITY,Personal,2024-01-03 19:56:36.531488,87.53,Agent,36382.97,9068f98e137c7defca3bc44c3e9e868e
O-2024-0000741,100341,HOME,HomeBasic,2024-01-03 20:51:09.000000,362.98,Phone,36180.3,23359f6c41bfb362a10ecb9da5fef74e
O-2024-0000689,100628,HOME,HomeBasic,2024-01-03 21:06:32.000000,374.05,Phone,29121.44,487f221f2352139b6de01599196051c7
O-2024-0002413,100189,LIABILITY,Personal,2024-01-03 21:09:31.000000,79.22,Phone,5027.58,525656c6e50184b6f7b20e1b1720f668
O-2024-0003112-D01,100875,LIABILITY,Personal,2024-01-03 21:34:51.209911,103.4,Web,25495.91,4fe85780e5364364720789fa97cc4bad
O-2024-0006817,100559,TRAVEL,Europe,2024-01-03 22:50:58.000000,20.33,Agent,19092.08,14b96cab0abda8fd681dc3c3f5e8920a
O-2024-0001329-D01,100688,PET,Dog,2024-01-03 23:29:26.127381,148.54,Agent,35910.59,ab4c1f7c293e51bdee966f6c11e0ecff
O-2024-0004342,100044,TRAVEL,World,2024-01-04 00:52:41.000000,63.49,Agent,40708.96,001ff01ae0998299c49bc3ad5609f6cc
O-2024-0003864,100314,HOME,HomePlus,2024-01-04 01:55:55.000000,777.26,Agent,7431.51,839bea4a0672d1416a286f424f568276
O-2024-0000961,100756,PET,Dog,2024-01-04 03:48:46.000000,177.29,Web,17523.17,22cf9f9c89d5926d7e1e564ffd44358b
O-2024-0006228,100346,LIABILITY,Personal,2024-01-04 03:49:14.000000,99.24,Web,1334.84,5bc39462616d72e91289cfa3d2cc5d31
O-2024-0004342-D01,100044,TRAVEL,World,2024-01-04 05:08:56.770424,61.39,Agent,40708.96,001ff01ae0998299c49bc3ad5609f6cc
O-2024-0006228-D01,100346,LIABILITY,Personal,2024-01-04 05:20:14.415713,94.32,Web,1334.84,5bc39462616d72e91289cfa3d2cc5d31
O-2024-0002363,100980,PET,Dog,2024-01-04 05:52:32.000000,60.66,Web,9619.62,7238e6df26bca340b4aa7a5089f1f43f
O-2024-0000070,100824,TRAVEL,World,2024-01-04 06:07:52.000000,33.78,Web,34749.07,fda1a0bcc8e94fb83559ac54f841393e
O-2024-0002075,100014,LIABILITY,Personal,2024-01-04 07:26:39.000000,124.98,Agent,31769.74,d05eb0c358284ba20791e77a9b477cd2
O-2024-0002815,100321,HOME,HomePlus,2024-01-04 07:37:28.000000,361.92,Web,6881.44,866108309f71d0eb494ff28a85cb1c13
O-2024-0002417,100195,TRAVEL,Europe,2024-01-04 08:17:17.000000,61.43,Agent,1757.4,db9fc067903873fc05da3bcf22eff6a2
O-2024-0000485,100986,PET,Dog,2024-01-04 08:24:57.000000,67.5,Web,2370.13,df0e85fb426815f7f0acbb75e1b0cbc7
O-2024-0004786,100201,HOME,HomeBasic,2024-01-04 08:36:44.000000,726.72,Web,3265.29,fbe47f392701832f6e7e6e42d91b67b2
O-2024-0003557,100892,LIABILITY,Personal,2024-01-04 09:38:00.000000,140.68,Web,47559.75,0e55bd674e63b84dbd559fdee7604c88
