policy_id,customer_id,product_code,product_variant,start_date,end_date,policy_status,written_premium,sum_insured,currency,sales_channel,policy_version
P-2023-000001,100596,PET,Dog,2023-04-24,2024-04-27,Expired,83.78,26502.02,EUR,Broker,1
P-2025-000002,100194,LIABILITY,Personal,2025-01-14,2026-01-28,Active,287.32,48029.76,EUR,Broker,1
P-2023-000003,100326,TRAVEL,World,2023-01-24,2024-02-08,Expired,30.78,32633.04,EUR,Broker,1
P-2025-000004,100000,HOME,HomeBasic,2025-01-13,2026-04-05,Active,180.7,23259.64,EUR,Broker,1
P-2024-000005,100368,LIABILITY,Personal,2024-09-08,2025-04-13,Expired,191.3,18548.85,EUR,Broker,1
P-2024-000006,100170,LIABILITY,Personal,2024-03-15,2025-06-22,Expired,274.45,3301.68,EUR,Bank,1
P-2024-000007,100189,PET,Cat,2024-04-24,2025-07-21,Active,38.57,4761.15,EUR,Online,1
P-2024-000008,100443,TRAVEL,World,2024-12-24,2026-04-06,Active,41.72,21270.26,EUR,Agent,1
P-2023-000009,100991,PET,Cat,2023-11-12,2024-11-20,Expired,109.68,36704.16,EUR,Online,1
P-2023-000010,100431,TRAVEL,World,2023-03-13,2024-03-09,Expired,36.06,9305.7,EUR,Phone,1
P-2023-000011,100147,HOME,HomeBasic,2023-01-26,2024-03-10,Expired,309.81,34199.74,EUR,Online,1
P-2024-000012,100812,LIABILITY,Personal,2024-04-03,2025-06-15,Expired,177.39,4564.01,EUR,Broker,1
P-2023-000013,100113,HOME,HomePlus,2023-12-24,2025-05-03,Expired,1047.34,42344.0,EUR,Bank,1
P-2025-000014,100998,LIABILITY,Personal,2025-02-14,2026-03-31,Active,154.98,41700.52,EUR,Phone,1
P-2025-000015,100427,TRAVEL,World,2025-01-29,2026-08-24,Active,54.92,37244.46,EUR,Bank,1
P-2024-000016,100725,PET,Dog,2024-07-01,2025-08-15,Active,80.36,17375.44,EUR,Broker,1
P-2023-000017,100438,HOME,HomePlus,2023-10-13,2025-01-04,Expired,390.64,19233.89,EUR,Phone,1
P-2023-000018,100539,AUTO,MTPL,2023-04-26,2024-05-25,Expired,217.97,3921.25,EUR,Agent,1
P-2023-000019,100409,AUTO,CASCO,2023-08-02,2024-08-28,Expired,560.38,23522.59,EUR,Broker,1
P-2023-000020,100293,AUTO,MTPL,2023-01-15,2024-02-29,Expired,54.42,49829.79,EUR,Broker,1
P-2024-000021,100527,LIABILITY,Personal,2024-08-02,2025-11-25,Active,241.02,49710.0,EUR,Agent,1
P-2025-000022,100839,LIABILITY,Personal,2025-01-27,2026-05-30,Active,107.13,24706.32,EUR,Agent,1
P-2023-000023,100918,AUTO,CASCO,2023-01-19,2024-03-17,Expired,404.5,18142.86,EUR,Agent,1
P-2025-000024,100462,LIABILITY,Personal,2025-04-12,2026-04-02,Active,103.8,28120.12,EUR,Online,1
P-2023-000025,100812,AUTO,CASCO,2023-10-06,2024-08-17,Expired,541.6,24178.35,EUR,Agent,1
P-2024-000026,100431,AUTO,MTPL,2024-01-10,2024-08-16,Expired,235.14,35052.7,EUR,Broker,1
P-2024-000027,100108,LIABILITY,Personal,2024-07-04,2025-03-09,Expired,153.19,26145.58,EUR,Online,1
P-2024-000028,100812,PET,Dog,2024-08-02,2025-04-23,Expired,98.07,13805.32,EUR,Bank,1
P-2023-000029,100628,PET,Dog,2023-12-17,2024-12-30,Expired,85.82,9954.81,EUR,Online,1
P-2023-000030,100057,AUTO,MTPL,2023-05-26,2024-05-24,Expired,168.91,14995.67,EUR,Bank,1
P-2025-000031,100549,PET,Cat,2025-05-08,2026-04-13,Active,70.11,6129.12,EUR,Bank,1
P-2023-000032,100770,AUTO,MTPL,2023-09-24,2024-09-12,Expired,98.86,5479.68,EUR,Agent,1
P-2024-000033,100145,PET,Cat,2024-05-29,2025-03-09,Expired,155.39,7143.39,EUR,Phone,1
P-2023-000034,100034,AUTO,MTPL,2023-12-23,2024-12-18,Expired,194.07,2105.66,EUR,Broker,1
P-2024-000035,100507,LIABILITY,Personal,2024-02-26,2025-03-17,Expired,116.69,16487.81,EUR,Agent,1
